latitude,longitude,month,aquifer_zone,zone_name,rainfall_mm,rainfall_lag_1m,rainfall_lag_2m,rainfall_rolling_3m,rainfall_std_3m,avg_temp_c,temp_rainfall_interaction,seasonal_index,groundwater_level_m
28.6749,77.2901,1,A,Urban,14.8,80.88821138211382,80.88821138211382,14.8,0.0,22.3,3.3004000000000002,0,8.28
28.6116,77.2732,1,A,Urban,12.0,80.88821138211382,80.88821138211382,12.0,0.0,22.5,2.7,0,10.27
28.6041,77.294,1,A,Urban,11.3,80.88821138211382,80.88821138211382,11.3,0.0,19.9,2.2487,0,7.96
28.6608,77.205,1,A,Urban,11.3,80.88821138211382,80.88821138211382,11.3,0.0,14.2,1.6046,0,8.08
28.7224,77.1279,1,A,Urban,9.9,80.88821138211382,80.88821138211382,9.9,0.0,14.9,1.4751000000000003,0,12.1
28.6399,77.2028,1,A,Urban,12.0,80.88821138211382,80.88821138211382,12.0,0.0,17.2,2.0639999999999996,0,9.26
28.7215,77.1341,1,A,Urban,10.8,80.88821138211382,80.88821138211382,10.8,0.0,17.7,1.9116,0,7.83
28.6244,77.199,1,A,Urban,18.7,80.88821138211382,80.88821138211382,18.7,0.0,20.6,3.8522000000000003,0,6.4
28.6623,77.204,1,A,Urban,8.5,80.88821138211382,80.88821138211382,8.5,0.0,19.0,1.615,0,10.45
28.6177,77.1392,1,A,Urban,13.3,80.88821138211382,80.88821138211382,13.3,0.0,18.2,2.4206,0,8.38
28.6777,77.1543,1,A,Urban,11.3,80.88821138211382,80.88821138211382,11.3,0.0,21.1,2.3843000000000005,0,9.51
28.6282,77.2604,1,A,Urban,7.1,80.88821138211382,80.88821138211382,7.1,0.0,16.8,1.1928,0,10.28
28.6011,77.2631,1,A,Urban,16.0,80.88821138211382,80.88821138211382,16.0,0.0,20.9,3.344,0,7.15
28.7726,77.2247,1,A,Urban,11.8,80.88821138211382,80.88821138211382,11.8,0.0,17.2,2.0296000000000003,0,8.67
28.6622,77.165,1,A,Urban,15.3,80.88821138211382,80.88821138211382,15.3,0.0,21.9,3.3507,0,8.63
28.6239,77.2426,1,A,Urban,15.9,80.88821138211382,80.88821138211382,15.9,0.0,19.4,3.0846,0,11.99
28.7542,77.1988,1,A,Urban,4.4,80.88821138211382,80.88821138211382,4.4,0.0,20.5,0.902,0,9.03
28.6629,77.2017,1,A,Urban,11.8,80.88821138211382,80.88821138211382,11.8,0.0,18.0,2.124,0,9.75
28.6821,77.2511,1,A,Urban,10.2,80.88821138211382,80.88821138211382,10.2,0.0,17.2,1.7543999999999997,0,10.87
28.7607,77.1373,1,A,Urban,13.8,80.88821138211382,80.88821138211382,13.8,0.0,18.7,2.5806,0,10.89
28.7615,77.2792,1,A,Urban,10.5,80.88821138211382,80.88821138211382,10.5,0.0,17.6,1.848,0,8.23
28.7636,77.2721,1,A,Urban,8.1,80.88821138211382,80.88821138211382,8.1,0.0,18.5,1.4985,0,8.49
28.6835,77.1444,1,A,Urban,11.7,80.88821138211382,80.88821138211382,11.7,0.0,16.5,1.9304999999999999,0,8.75
28.7038,77.2406,1,A,Urban,14.0,80.88821138211382,80.88821138211382,14.0,0.0,19.1,2.6740000000000004,0,8.78
